Name,Biosynthetic_class,Structural_class,EXT_k2,EXT_k3,EXT_k4,EXT_k5,EXT_k6,EXT_k7,EXT_k8,EXT_k9,EXT_k10,MACCS_k2,MACCS_k3,MACCS_k4,MACCS_k5,MACCS_k6,MACCS_k7,MACCS_k8,MACCS_k9,MACCS_k10,PubChem_k2,PubChem_k3,PubChem_k4,PubChem_k5,PubChem_k6,PubChem_k7,PubChem_k8,PubChem_k9,PubChem_k10,Sub_k2,Sub_k3,Sub_k4,Sub_k5,Sub_k6,Sub_k7,Sub_k8,Sub_k9,Sub_k10,SubCount_k2,SubCount_k3,SubCount_k4,SubCount_k5,SubCount_k6,SubCount_k7,SubCount_k8,SubCount_k9,SubCount_k10
(+)-Isodihydrocarvone,Terpenoids,MT,0,0,2,1,3,5,5,4,4,1,1,3,2,5,1,1,7,0,0,0,3,0,0,5,4,0,0,0,0,2,2,5,3,3,8,8,1,0,0,1,1,1,2,1,3
"(4a alpha,7 alpha,7a alpha)-Nepetalactone",Terpenoids,MT,0,0,3,4,5,1,1,1,0,1,1,3,2,5,1,1,7,0,0,0,3,0,3,1,5,1,5,1,1,3,3,5,3,3,5,2,1,2,0,1,1,1,2,1,3
"(4a alpha,7 alpha,7a beta)-Nepetalactone",Terpenoids,MT,0,0,3,4,5,1,1,1,0,1,1,3,2,5,1,1,7,0,0,0,3,0,3,1,5,1,5,1,1,3,3,5,3,3,5,2,1,2,0,1,1,1,2,1,3
"(4a alpha,7 beta,7a beta)-Nepetalactone",Terpenoids,MT,0,0,3,4,5,1,1,1,0,1,1,3,2,5,1,1,7,0,0,0,3,0,3,1,5,1,5,1,1,3,3,5,3,3,5,2,1,2,0,1,1,1,2,1,3
1-(Cyclohexylmethyl)-4-isopropylcyclohexane,Others,Others,1,2,2,3,3,5,0,5,4,0,0,0,4,1,5,7,4,3,0,0,2,1,0,6,1,7,3,0,0,2,2,1,1,5,4,3,0,2,2,0,4,2,6,3,6
"1,1-diethoxy-ethane",FADs,Aliphatics and C5 branched,1,2,2,3,3,5,0,5,4,0,0,1,1,2,0,4,5,5,0,1,2,1,2,3,1,7,3,1,1,3,0,4,6,7,2,6,1,0,0,1,5,5,3,6,1
"1,2- benzenedicarboxylic acid, diisooctyl ester",Shikimate_derived_Aromatics,BP,1,1,3,2,2,1,4,8,5,0,0,1,1,2,0,4,5,5,1,2,1,3,5,2,3,2,7,1,2,1,3,2,2,6,5,9,0,1,1,2,0,4,0,4,8
"1,2,3-trimethoxybenzene",Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,6,5,0,2,2,3,4,2,3,8,9,1,2,1,3,5,2,3,2,2,1,1,3,0,4,5,4,0,6,1,0,3,3,2,0,5,5,4
"1,2,3-trimethylbenzene",Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,7,5,0,2,2,3,0,4,0,6,7,1,2,1,2,4,4,0,5,8,1,1,3,0,4,6,4,2,6,1,0,3,3,2,0,5,5,4
"1,2,4-trimethoxybenzene",Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,6,5,0,2,2,3,4,2,3,8,9,1,2,1,3,5,2,3,2,2,1,1,3,0,4,5,4,0,6,1,0,3,3,2,0,5,5,4
"1,2-diethyl benzene",Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,7,9,0,2,2,3,0,4,0,6,7,1,2,1,2,4,4,0,5,8,1,1,3,0,1,6,7,2,6,1,0,3,3,2,0,5,5,4
"1,2-dihydro-1,1,6-trimethyl naphthalene",Terpenoids,Irregular terpene,1,1,0,2,2,4,7,7,9,1,2,2,3,0,4,0,6,7,1,2,1,2,4,4,0,5,8,0,0,2,2,1,1,5,4,3,1,0,3,3,2,0,5,0,9
"1,2-dimethoxy-4-methylbenzene",Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,6,8,0,2,2,3,4,2,3,8,9,1,2,1,3,5,2,3,2,2,1,1,3,0,4,5,4,0,6,1,0,3,3,2,0,5,5,4
"1,2-dimethyIcyclohexane",Others,Others,1,2,2,3,3,5,0,5,4,0,0,0,4,1,5,7,4,3,0,0,2,1,2,6,1,7,3,0,0,2,2,1,1,5,4,3,1,0,0,1,1,1,2,1,3
"1,3,5-cycloheptatriene",Others,Others,1,2,2,3,3,2,5,2,2,0,2,2,3,0,4,0,6,7,0,1,0,4,1,6,6,6,1,0,0,2,2,1,6,7,2,3,1,0,3,1,5,5,1,7,7
"1,3,5-trimethoxy benzene",Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,6,5,0,2,2,3,4,2,3,8,9,1,2,1,3,5,2,3,2,2,1,1,3,0,4,5,4,0,6,1,0,3,3,2,0,5,5,4
"1,3,5-trimethyl-benzene",Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,7,5,0,2,2,3,0,4,0,6,7,1,2,1,2,4,4,0,5,8,1,1,3,0,4,6,4,2,6,1,0,3,3,2,0,5,5,4
"1,3,6-octatriene",FADs,Aliphatics and C5 branched,1,2,2,3,3,2,5,2,2,0,2,2,3,0,4,0,0,1,0,1,0,4,1,6,6,6,1,0,0,2,2,1,6,7,2,3,1,0,0,1,5,5,1,7,7
"1,3,7-octatriene",FADs,Aliphatics and C5 branched,0,0,2,1,3,2,5,2,2,0,2,2,0,0,4,0,0,3,0,1,0,4,1,6,6,6,1,0,0,2,2,1,6,7,2,3,1,0,0,1,5,5,1,7,7
"1,3-benzothiazole",Others,Aromatic_N/S,1,1,0,2,2,4,7,7,5,0,2,2,3,0,4,0,6,7,1,2,1,2,4,4,7,4,9,1,1,3,0,4,5,4,6,4,1,0,3,3,2,0,5,5,4
"1,3-diethyl benzene",Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,7,9,0,2,2,3,0,4,0,6,7,1,2,1,2,4,4,0,5,8,1,1,3,0,1,6,7,2,6,1,0,3,3,2,0,5,5,4
"1,3-dimethylcyclohexane",Others,Others,1,2,2,3,3,5,0,5,4,0,0,0,0,3,5,7,4,3,0,0,2,1,2,6,1,7,3,0,0,2,2,1,1,5,4,3,1,0,0,1,1,1,2,1,3
"1,3-octadiene",FADs,Aliphatics and C5 branched,0,0,1,1,4,2,5,2,2,0,0,1,0,3,5,7,4,3,0,1,0,4,1,6,6,6,1,0,0,2,2,1,6,7,2,3,1,0,0,1,5,5,1,7,7
"1,4-diethyl benzene",Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,7,9,0,2,2,3,0,4,0,6,7,1,2,1,2,4,4,0,5,8,1,1,3,0,1,6,7,2,6,1,0,3,3,2,0,5,5,4
"1,4-dimethoxybenzene",Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,6,5,0,2,2,3,4,2,3,8,9,1,2,1,3,5,2,3,2,2,1,1,3,0,4,5,4,0,6,1,0,3,3,2,0,5,5,4
"1,4-dioxane",Others,Others,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,6,7,0,1,2,1,2,3,1,7,3,1,1,3,0,4,5,4,2,6,1,0,0,1,5,5,1,7,7
"1,5-di-epi-Bourbonene",Terpenoids,ST,0,0,1,1,4,3,2,4,7,1,1,0,4,1,3,6,1,8,0,0,3,0,0,5,4,0,0,0,0,2,2,1,1,5,4,3,0,2,2,0,4,2,6,3,6
"1,5-epoxysalvial-4(14)-ene",Terpenoids,ST,0,0,3,4,5,1,1,1,0,1,1,3,2,5,1,6,3,8,0,0,3,0,3,1,2,8,6,0,0,2,2,5,3,3,8,8,0,2,2,0,4,2,6,3,6
"1,6-diacteoxyhexane",FADs,Aliphatics and C5 branched,1,2,3,4,0,1,1,1,6,0,0,1,1,2,0,4,5,5,0,1,2,1,2,3,5,1,4,1,1,3,3,2,2,2,5,2,1,0,0,1,1,6,3,8,5
"1,6-germacradien-5-ol",Terpenoids,ST,0,0,1,0,4,6,6,0,3,1,1,3,2,5,1,5,3,6,0,0,3,0,3,1,2,8,6,0,0,0,4,0,4,1,1,1,0,2,2,0,4,2,6,3,0
"1,6-octadien, 3,7-dimethyl",Terpenoids,MT,0,0,1,1,4,2,5,2,2,1,1,0,4,1,3,6,1,4,0,1,0,4,1,6,6,6,1,0,0,2,2,1,1,5,4,3,1,0,0,1,5,5,3,6,1
"1,7-Dicyclopentyl-4-n-octylheptane",Others,Others,1,2,2,3,3,5,0,5,4,0,0,1,0,3,5,7,4,3,0,1,2,1,2,6,1,7,3,0,0,2,2,1,1,5,4,3,0,1,1,4,3,3,7,2,2
"1,8-cineole",Terpenoids,MT,1,2,3,4,0,1,1,1,6,1,1,3,2,5,1,5,3,8,0,0,2,1,3,1,2,8,6,0,0,2,2,5,3,3,8,8,1,2,0,1,1,1,2,1,3
10-epi-cubenol,Terpenoids,ST,0,0,1,0,4,6,6,0,3,1,1,3,2,5,1,5,3,6,0,0,3,0,3,1,2,8,6,0,0,0,4,0,4,1,1,1,0,2,2,0,4,2,6,3,6
10-epi-g-eudesmol,Terpenoids,ST,0,0,1,0,4,6,6,0,3,1,1,3,2,5,1,5,3,6,0,0,3,0,3,1,2,8,6,0,0,0,4,0,4,1,1,1,0,2,2,0,4,2,6,3,0
10-epi-italicene,Terpenoids,ST,0,0,1,1,4,3,2,4,7,1,1,0,4,1,3,6,1,8,0,0,3,0,0,5,4,0,0,0,0,2,2,1,1,5,4,3,0,2,2,0,4,2,6,3,6
"11,13-labdadien-8-ol",Terpenoids,Diterpenes,0,0,1,0,4,6,6,0,3,1,1,3,2,5,1,5,3,6,0,0,3,0,3,1,2,8,6,0,0,0,4,0,4,1,1,1,0,2,2,0,4,2,6,3,6
12-epi-cedrol,Terpenoids,ST,1,2,2,3,1,0,3,3,1,1,1,3,2,5,1,5,3,6,0,0,3,0,3,1,2,8,6,0,0,0,4,0,3,1,1,1,0,2,2,0,4,2,6,3,6
12-methyl-tridecanol,FADs,Aliphatics and C5 branched,1,2,2,3,1,0,3,3,1,0,0,1,0,3,6,2,2,2,0,1,2,1,2,3,1,7,3,0,0,0,4,0,4,1,7,7,0,1,1,2,0,4,0,4,8
12-Nor-preziza-7(15)-en-2-one,Terpenoids,ST,0,0,2,1,3,5,5,4,4,1,1,3,2,5,1,1,7,0,0,0,3,0,0,5,4,0,0,0,0,2,2,5,3,3,8,8,0,2,2,0,4,2,6,3,0
13-epi-manool,Terpenoids,Diterpenes,0,0,2,0,1,6,3,3,1,1,1,3,2,5,1,5,3,6,0,0,3,0,3,1,2,8,6,0,0,0,4,0,4,1,1,1,0,2,2,0,4,2,6,3,6
13-epi-manoyl oxide,Terpenoids,Diterpenes,0,2,3,4,5,1,1,1,0,1,1,3,2,5,1,5,3,8,0,0,3,0,3,1,2,8,6,0,0,2,2,5,3,3,8,8,0,2,2,0,4,2,6,3,6
13-Nor-eudesma-5-en-11-one,Terpenoids,ST,0,0,1,1,4,3,2,4,7,1,1,0,4,1,3,6,1,8,0,0,3,0,0,5,4,0,0,0,0,2,2,5,3,3,8,8,0,2,2,0,4,2,6,3,0
14-hydroxy-9-epi-(E) Caryophyllene,Terpenoids,ST,0,0,1,0,4,6,6,0,3,1,1,0,4,1,6,2,2,2,0,0,3,0,3,1,2,8,6,0,0,0,4,0,4,1,7,7,0,2,2,0,4,2,6,3,0
14-hydroxy-a-muurolene,Terpenoids,ST,0,0,1,0,4,6,6,0,3,1,1,0,4,1,6,2,2,2,0,0,3,0,3,1,2,8,6,0,0,0,4,0,4,1,7,7,0,2,2,0,4,2,6,3,0
14-oxy-a-Muurolene,Terpenoids,ST,0,0,1,1,4,3,2,4,7,1,1,0,4,1,3,6,1,4,0,0,3,0,0,5,4,0,0,1,2,1,1,3,0,0,3,5,0,2,2,0,4,2,6,3,0
16-heptadecenal,FADs,Aliphatics and C5 branched,0,0,2,1,3,5,5,4,4,0,0,1,0,3,5,7,4,3,0,1,0,4,1,0,6,6,1,1,1,3,3,2,2,2,5,2,0,1,1,2,0,4,0,4,8
"1a,10a-Epoxy-amorph-4-ene",Terpenoids,ST,0,0,1,0,5,6,6,0,0,1,1,3,2,5,1,6,3,8,0,0,3,0,3,1,2,8,6,0,0,2,2,5,3,3,8,8,0,2,2,0,4,2,6,3,0
"1-allyl-2,3,4,5-tetramethoxybenzene",Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,6,8,0,2,2,3,4,2,3,8,9,1,2,1,3,5,2,3,2,2,1,1,3,0,4,5,4,0,6,1,0,3,3,2,0,5,0,9
2-(4-Methoxyphenyl) ethanol,Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,6,8,0,2,2,3,4,2,3,8,9,1,2,1,3,5,2,3,2,2,1,1,0,0,4,5,4,7,6,1,0,3,3,2,0,5,5,4
"2,2,4,4,7,7-hexamethyloctahydro-1H-indene",Terpenoids,MT,1,2,2,3,3,5,0,5,4,1,1,0,4,1,3,6,1,8,0,0,3,0,0,5,4,0,0,0,0,2,2,1,1,5,4,3,0,2,2,0,4,2,6,3,6
"2,2,4-trimethylpentane",FADs,Aliphatics and C5 branched,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,0,1,0,1,2,1,2,6,1,7,3,0,0,2,2,1,1,5,4,3,1,0,0,1,5,5,3,6,1
"2,2,6-trimethyl-1,4-cyclohexanedione",Terpenoids,Irregular terpene,1,2,2,3,3,5,0,5,4,1,1,3,2,5,1,1,7,0,0,0,2,1,2,3,5,7,4,0,0,2,2,5,3,3,8,8,1,0,0,1,1,1,2,1,3
"2,2,6-trimethylcyclohexanone",Others,Others,1,2,2,3,3,5,0,5,4,1,1,3,2,5,1,1,7,0,0,0,2,1,2,3,5,7,4,0,0,2,2,5,3,3,8,8,1,0,0,1,1,1,2,1,3
"2,2,6-trimethyl-hepta-3,5-diene",FADs,Aliphatics and C5 branched,1,2,2,3,3,2,5,2,2,1,2,2,4,0,4,0,0,1,0,1,0,4,1,6,6,6,1,0,0,2,2,1,6,7,2,3,1,0,0,1,5,1,2,6,1
"2,2-dimethylpropanoic acid",FADs,Aliphatics and C5 branched,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,0,1,0,1,2,1,2,3,5,1,4,1,1,3,3,2,2,2,5,2,1,0,0,1,5,5,1,7,7
"2,3,3-Trimethyl-3-cyclopentene acetaldehyde",Terpenoids,MT,1,2,2,3,3,5,0,5,4,1,1,0,4,1,3,1,7,0,0,0,2,1,2,3,5,7,4,1,1,3,3,2,2,2,5,2,1,0,0,1,1,1,2,1,3
"2,3,4-trimethylbenzaldehyde",Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,7,5,0,2,2,3,0,4,0,6,7,1,2,1,2,4,4,0,5,8,1,2,1,0,4,5,6,0,9,1,0,3,3,2,0,5,5,4
"2,3,5,5,8,8-Hexamethyl-cycloocta-1,3,6-triene",Terpenoids,ST,1,2,2,3,3,2,5,2,2,1,2,0,4,0,4,0,0,1,0,1,0,4,1,6,6,6,1,0,0,2,2,1,1,5,4,3,1,2,2,0,1,1,2,1,3
"2,3,5-trimethylpyrazine",Others,Aromatic_N/S,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,6,7,0,1,0,4,4,6,7,4,9,1,1,3,0,4,5,4,6,4,1,0,3,3,2,0,5,5,4
"2,3,5-trithiahexane",Others,NonAromatic_N/S,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,0,1,0,1,2,1,2,6,1,7,3,1,1,3,0,4,6,7,2,0,1,0,0,1,5,5,1,7,7
"2,3-butadione",FADs,Aliphatics and C5 branched,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,0,1,0,1,2,1,2,3,1,7,4,1,1,3,0,5,6,7,2,8,1,0,3,1,5,5,1,7,7
"2,3-butanediol",FADs,Aliphatics and C5 branched,1,2,2,3,3,0,0,5,4,0,2,2,3,0,4,0,0,1,0,1,2,1,2,3,1,7,3,1,1,0,4,0,4,1,7,1,1,0,0,1,5,5,1,7,7
"2,3-dehydro-1,8-cineole",Terpenoids,MT,0,0,3,0,5,1,6,0,0,1,1,3,2,5,1,5,3,0,0,0,3,0,3,1,2,8,6,0,0,2,2,5,3,3,8,8,1,0,0,1,1,1,2,1,3
"2,3-dimethyl-1,3-butadiene",Terpenoids,Aliphatics and C5 branched,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,0,1,0,1,0,4,1,6,6,6,1,0,0,2,2,1,6,7,2,3,1,0,3,1,5,5,1,7,7
"2,3-dimethyl-2-butene",Terpenoids,Aliphatics and C5 branched,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,0,1,0,1,0,4,2,6,1,7,3,0,0,2,2,1,6,7,2,3,1,0,0,1,5,5,1,7,7
"2,3-dimethylpyridine",Others,Aromatic_N/S,1,1,0,2,2,4,7,7,5,0,2,2,3,0,4,0,6,7,1,2,1,2,4,4,7,4,9,1,1,3,0,4,5,4,6,4,1,0,3,3,2,0,5,5,4
"2,3-pentanedione",FADs,Aliphatics and C5 branched,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,0,1,0,1,2,1,2,3,5,7,4,1,1,3,0,5,6,7,2,8,1,0,0,1,5,5,1,7,7
"2,4,5,7-tetrathiaoctane",Others,NonAromatic_N/S,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,0,1,0,1,2,1,2,6,1,7,3,1,1,3,0,4,6,7,2,0,1,0,0,1,5,5,1,7,7
"2,4,6-trichlorophenol",Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,5,5,0,2,2,3,4,2,3,8,9,1,2,1,3,5,2,3,5,2,1,1,3,0,4,5,4,0,6,1,0,3,3,2,0,5,5,4
"2,4-diathiapentane",Others,NonAromatic_N/S,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,0,1,0,1,2,1,2,6,1,7,3,1,1,3,0,4,6,7,2,0,1,0,0,1,5,5,1,7,7
"2,4-dimethyl-1-heptanol",FADs,Aliphatics and C5 branched,1,2,2,3,1,0,3,3,1,0,0,1,0,3,6,2,2,2,0,1,2,1,2,3,1,7,3,0,0,0,4,0,4,1,7,7,1,0,0,1,1,6,3,6,1
"2,4-dimethyl-2,4-heptadiene",FADs,Aliphatics and C5 branched,1,2,2,3,3,2,5,2,2,0,2,2,3,0,4,0,0,1,0,1,0,4,1,6,6,6,1,0,0,2,2,1,6,7,2,3,1,0,0,1,5,5,1,6,1
"2,4-dimethylphenol",Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,7,5,0,2,2,3,4,2,3,8,9,1,2,1,3,5,2,3,5,2,1,1,3,0,4,5,4,0,6,1,0,3,3,2,0,5,5,4
"2,4-dimethylthiophene",Others,Aromatic_N/S,1,1,0,2,2,4,7,5,5,0,2,2,3,0,4,0,6,7,1,2,1,2,4,4,0,5,8,1,1,3,0,4,5,4,6,4,1,0,3,3,2,0,5,5,4
"2,4-di-tert-butylanisole",Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,6,8,0,2,2,3,4,2,3,8,9,1,2,1,3,5,2,3,2,2,1,1,3,0,4,5,4,0,6,1,0,3,3,2,0,5,0,9
"2,4-di-tert-butylphenol",Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,7,9,1,2,2,3,4,2,3,8,9,1,2,1,3,5,2,3,5,2,1,1,3,0,4,5,4,0,6,1,0,3,3,2,0,5,0,9
"2,5,6-trimethyl hepta-1,3,6-triene",Terpenoids,Aliphatics and C5 branched,0,0,2,1,3,2,5,2,2,0,2,2,3,0,4,0,0,1,0,1,0,4,1,6,6,6,1,0,0,2,2,1,1,5,4,3,1,0,0,1,5,5,1,6,1
"2,5-diethyl tetrahydrofuran",Others,Others,1,2,3,4,0,1,1,1,6,0,0,1,0,3,5,7,4,3,0,1,2,1,2,3,1,7,3,1,1,3,0,5,6,3,8,8,1,0,0,1,1,1,3,6,1
"2,5-dihydro-2,5-dimethylfuran",Others,Others,1,2,2,3,3,2,5,2,2,0,2,2,3,0,4,0,0,1,0,1,0,4,1,0,6,6,1,0,1,3,0,5,6,3,8,8,1,0,0,1,5,5,1,7,7
"2,5-dihydrofuran",Others,Others,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,6,7,0,1,0,4,1,0,6,6,1,1,1,3,0,4,5,4,8,6,1,0,0,1,5,5,1,7,7
"2,5-Dimethoxy-p-cymene",Terpenoids,MT,1,1,0,2,2,4,7,6,8,0,2,2,3,4,2,3,8,9,1,2,1,3,5,2,3,2,2,1,1,3,0,4,5,4,0,6,1,0,3,3,2,0,5,0,9
"2,5-dimethyl-3-(1-propenyl)-pyrazine",Others,Aromatic_N/S,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,6,7,0,1,0,2,4,6,7,4,9,1,2,1,0,4,5,4,6,4,1,0,3,3,2,0,5,5,4
"2,5-dimethyl-3-(3-methylbutyl)-pyrazine",Others,Aromatic_N/S,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,6,7,0,0,0,2,4,6,7,4,9,1,1,3,0,4,5,4,6,4,1,0,3,3,2,0,5,0,9
"2,5-dimethyl-3-pentylpyrazine",Others,Aromatic_N/S,1,2,2,3,3,5,0,5,4,0,0,1,0,3,5,7,6,7,0,1,0,2,4,6,7,4,9,1,1,3,0,4,5,4,6,4,1,0,0,1,2,0,3,0,9
"2,5-dimethylpyrazine",Others,Aromatic_N/S,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,6,7,0,1,0,4,4,6,7,4,9,1,1,3,0,4,5,4,6,4,1,0,3,3,2,0,5,5,4
"2,5-dimethylstyrene",Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,7,5,0,2,2,3,0,4,0,6,7,1,2,1,2,4,4,0,5,8,1,2,2,0,4,6,4,2,6,1,0,3,3,2,0,5,5,4
"2,5-dimethyl-tridecane",FADs,Aliphatics and C5 branched,1,2,2,3,3,5,0,5,4,0,0,1,0,3,5,7,4,3,0,1,2,1,2,6,1,7,3,0,0,2,2,1,1,5,4,3,0,2,2,2,0,4,4,8,5
"2,5-hexanediol",FADs,Aliphatics and C5 branched,1,2,2,3,1,0,3,3,1,0,0,1,0,3,6,2,2,1,0,1,2,1,2,3,1,7,3,0,1,0,4,0,4,1,7,1,1,0,0,1,5,5,3,6,1
"2,6,10,14-tetramethylheptadecane",FADs,Aliphatics and C5 branched,1,2,2,3,3,5,0,5,4,0,0,1,0,3,5,7,4,3,0,1,2,1,2,6,1,7,3,0,0,2,2,1,1,5,4,3,0,1,1,2,0,4,0,4,8
"2,6,10,14-tetramethylhexadecane",FADs,Aliphatics and C5 branched,1,2,2,3,3,5,0,5,4,0,0,1,0,3,5,7,4,3,0,1,2,1,2,6,1,7,3,0,0,2,2,1,1,5,4,3,0,1,1,2,0,4,0,4,8
"2,6,10,14-tetramethylpentadecane",Terpenoids,Diterpenes,1,2,2,3,3,5,0,5,4,0,0,1,0,3,5,7,4,3,0,1,2,1,2,6,1,7,3,0,0,2,2,1,1,5,4,3,0,1,1,2,0,4,0,4,8
"2,6,10-trimethylpentadecane",FADs,Aliphatics and C5 branched,1,2,2,3,3,5,0,5,4,0,0,1,0,3,5,7,4,3,0,1,2,1,2,6,1,7,3,0,0,2,2,1,1,5,4,3,0,1,1,2,0,4,0,4,8
"2,6,6-trimethyl-2-vinyl-THP",Terpenoids,MT,0,2,3,4,5,1,1,1,0,1,1,3,2,5,1,5,3,0,0,0,3,0,3,1,2,8,6,0,0,3,2,5,6,3,8,8,1,0,0,1,1,1,3,6,3
"2,6,8-trimethyl-decane",FADs,Aliphatics and C5 branched,1,2,2,3,3,5,0,5,4,0,0,1,0,3,5,7,4,3,0,1,2,1,2,6,1,7,3,0,0,2,2,1,1,5,4,3,0,2,2,0,1,6,4,8,5
"2,6-dimethoxy-4-(2-propenyl)-phenol",Shikimate_derived_Aromatics,BP,1,1,0,2,2,4,7,6,8,0,2,2,3,4,2,3,8,9,1,2,1,3,5,2,3,2,2,1,1,3,0,4,5,4,0,6,1,0,3,3,2,0,5,0,9
"2,6-dimethyl-1,5,7-octatrien-3-ol",Terpenoids,MT,0,0,1,0,4,2,5,2,2,0,2,2,3,0,4,0,0,1,0,1,0,4,1,0,6,6,1,0,0,0,4,0,4,1,7,1,1,0,0,1,5,5,3,6,1
"2,6-dimethyl-3,5-heptadione",FADs,Aliphatics and C5 branched,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,0,1,0,1,2,1,2,3,5,7,4,0,0,3,2,5,3,3,8,8,1,0,0,1,1,1,3,6,1
"2,6-dimethyl-4-heptanone",FADs,Aliphatics and C5 branched,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,0,1,0,1,2,1,2,3,5,7,4,0,0,3,2,5,3,3,8,8,1,0,0,1,1,1,3,6,1
"2,6-dimethyl-5-heptenal",FADs,Aliphatics and C5 branched,0,0,2,1,3,2,5,2,2,1,0,0,4,1,5,7,0,4,0,1,0,4,1,0,6,6,1,1,0,3,3,2,2,2,5,2,1,0,0,1,5,5,3,6,1
"2,6-dimethylcyclohexanol",Others,Others,1,2,2,3,1,0,3,3,1,1,1,3,2,5,1,5,3,6,0,0,2,1,3,1,2,8,6,0,0,0,4,0,3,1,1,1,1,0,0,1,1,1,2,1,3
"2,6-dimethylpyrazine",Others,Aromatic_N/S,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,6,7,0,1,0,4,4,6,7,4,9,1,1,3,0,4,5,4,6,4,1,0,3,3,2,0,5,5,4
"2,6-di-tert-butylquinone",Shikimate_derived_Aromatics,BP,0,0,2,1,3,2,5,2,2,1,2,3,2,5,1,1,7,0,0,0,3,0,0,5,4,0,0,1,2,1,1,3,0,0,3,5,1,0,0,1,1,1,2,1,3
2-acetylfuran,Others,Others,1,1,0,2,2,4,7,7,9,0,2,2,3,0,4,0,6,7,1,2,1,3,5,2,3,2,7,1,2,1,0,4,5,6,6,4,1,0,3,3,2,0,5,5,4
2-acetylpyridine,Others,Aromatic_N/S,1,1,0,2,2,4,7,7,9,0,2,2,3,0,4,0,6,7,1,2,1,2,4,4,7,4,9,1,2,1,0,4,5,6,6,4,1,0,3,3,2,0,5,5,4
2-aminoacetophenone,Others,Aromatic_N/S,1,1,0,2,2,4,7,7,9,0,2,2,3,0,4,0,6,7,1,2,1,2,4,4,0,5,8,1,2,1,0,4,5,6,0,9,1,0,3,3,2,0,5,5,4
2-aminobenzaldehyde,Others,Aromatic_N/S,1,1,0,2,2,4,7,7,5,0,2,2,3,0,4,0,6,7,1,2,1,2,4,4,0,5,8,1,2,1,0,4,5,6,0,9,1,0,3,3,2,0,5,5,4
2-butanol,FADs,Aliphatics and C5 branched,1,2,2,3,3,0,0,5,4,0,2,2,3,0,4,0,0,1,0,1,2,1,2,3,1,7,3,0,1,0,4,0,4,1,7,1,1,0,0,1,5,5,1,7,7
2-butenal,FADs,Aliphatics and C5 branched,1,2,2,3,3,5,0,5,4,0,2,2,3,0,4,0,0,1,0,1,0,4,1,0,6,6,1,1,2,1,1,3,0,0,3,5,1,0,3,1,5,5,1,7,7
"2-butenoic acid,3-methyl ethyl ester",FADs,Aliphatics and C5 branched,1,2,3,4,3,2,1,1,6,0,2,2,1,2,0,4,5,1,0,1,0,4,1,0,6,3,5,1,2,1,1,3,0,0,3,5,1,0,0,1,5,5,1,7,7
2-butylfuran,Others,Others,1,1,0,2,2,4,7,7,9,0,0,1,0,3,5,7,6,3,1,2,1,3,5,2,3,2,7,1,1,3,0,4,5,4,6,4,1,0,3,3,2,0,5,5,4
2-butylpyridine,Others,Aromatic_N/S,1,1,0,2,2,4,7,7,9,0,2,2,3,0,4,0,6,7,1,2,1,2,4,4,7,4,9,1,1,3,0,4,5,4,6,4,1,0,3,3,2,0,5,5,4
