Taxa_Tips,Order,Family,M0,M1,M2
Ocimum_americanum,Lamiales,Lamiaceae,1,1,1
Ocimum_basilicum,Lamiales,Lamiaceae,1,1,1
Ocotea_meziana,Laurales,Lauraceae,1,1,0
Ocotea_sinuata,Laurales,Lauraceae,1,1,0
Ocotea_valeriana,Laurales,Lauraceae,1,1,0
Ocotea_veraguensis,Laurales,Lauraceae,1,1,1
Oenanthe_crocata,Apiales,Apiaceae,1,1,1
Olea_europaea,Lamiales,Oleaceae,1,1,1
Oliveria_decumbens,Apiales,Apiaceae,1,1,1
Ophyrs_sp,Asparagales,Orchidaceae,0,1,0
Origanum_vulgare,Lamiales,Lamiaceae,1,1,1
Parkia_biglobosa,Lamiales,Fabaceae,1,1,1
Pelargonium_endlicherianum,Geraniales,Geraniaceae,1,1,1
Pelargonium_graveolens,Geraniales,Geraniaceae,1,1,1
Pemphis_acidula,Myrtales,Lythraceae,0,1,1
Pereskia_aculeata,Caryophyllales,Cactaceae,1,1,1
Peristeria_elata,Asparagales,Orchidaceae,1,1,1
Petroselinum_crispum,Apiales,Apiaceae,1,1,1
Phalaenopsis_equestris,Asparagales,Orchidaceae,1,1,1
Phalaenopsis_schilleriana,Asparagales,Orchidaceae,1,1,1
Phlox_sp,Ericales,Polemoniaceae,0,1,1
Phytelephas_aequatorialis,Arecales,Arecaceae,1,1,1
Phytelephas_macrocarpa,Arecales,Arecaceae,1,1,1
Phytelephas_seemannii,Arecales,Arecaceae,1,1,1
Pilosocereus_pachycladus,Caryophyllales,Cactaceae,1,1,1
Pimpinella_saxifraga,Apiales,Apiaceae,1,1,1
Piper_auritum,Piperales,Piperaceae,1,1,1
Pistacia_vera,Sapindales,Anacardiaceae,1,1,1
Plantago_ovata,Lamiales,Plantaginaceae,1,1,1
Plumeria_rubra,Gentianales,Apocynaceae,1,1,1
Pogostemon_cablin,Lamiales,Lamiaceae,1,1,1
Posoqueria_latifolia,Gentianales,Rubiaceae,1,1,1
Prunus_armeniaca,Rosales,Rosaceae,1,1,1
Prunus_avium,Rosales,Rosaceae,1,1,1
Prunus_domestica,Rosales,Rosaceae,1,1,1
Prunus_padus,Rosales,Rosaceae,1,1,1
Prunus_persica,Rosales,Rosaceae,1,1,1
Ranunculus_acris,Ranunculales,Ranunculaceae,1,1,1
Rhizophora_stylosa,Malpighiales,Rhizophoraceae,0,1,1
Ribes_nigrum,Saxifragales,Grossulariaceae,1,1,1
Rosa_chinensis,Rosales,Rosaceae,1,1,1
Rosa_gallica,Rosales,Rosaceae,1,1,0
Rosa_odorata_gigantea,Rosales,Rosaceae,0,0,1
Rosamarinus_officinalis,Lamiales,Lamiaceae,1,1,1
Salix_caprea,Malpighiales,Salicaceae,1,1,1
Salix_cinerea,Malpighiales,Salicaceae,1,1,1
Salix_repens_rosmarinifolia,Malpighiales,Salicaceae,1,1,1
Salvia_fruticosa,Lamiales,Lamiaceae,1,1,1
Salvia_officinalis,Lamiales,Lamiaceae,1,1,0
Salvia_sclarea,Lamiales,Lamiaceae,1,1,1
Santalum_album,Santalales,Santalaceae,1,1,1
Saponaria_officinalis,Caryophyllales,Caryophyllaceae,1,1,1
Satureja_hortensis,Lamiales,Lamiaceae,1,1,1
Sauromatum_sp,Alismatales,Araceae,1,1,1
Saussurea_costus,Asterales,Asteraceae,1,1,1
Schinus_molle,Sapindales,Anacardiaceae,1,1,1
Selenicereus_grandiflorus,Caryophyllales,Cactaceae,1,1,1
Selenicereus_hamatus,Caryophyllales,Cactaceae,1,1,1
Sonneratia_alba,Myrtales,Lythraceae,0,1,1
Stachys_byzantina,Lamiales,Lamiaceae,1,1,0
Syringa_oblata,Lamiales,Oleaceae,1,1,1
Tagetes_minuta,Asterales,Asteraceae,1,1,0
Tanacetum_parthenium,Asterales,Asteraceae,1,1,1
Thevetia_peruviana,Gentianales,Apocynaceae,1,1,1
Thymus_pulegiodes,Lamiales,Lamiaceae,1,1,1
Thymus_vulgaris,Lamiales,Lamiaceae,1,1,1
Tilia_sp,Malvales,Malvaceae,1,1,1
Valeriana_jatamansi,Dipsacales,Caprifoliaceae,1,1,1
Viola_etrusca,Malpighiales,Violaceae,1,1,1
Viola_odorata,Malpighiales,Violaceae,1,1,1
Vitis_vinifera,Vitales,Vitaceae,1,1,1
Xylopia_sp,Magnoliales,Annonaceae,1,1,1
Zamia_furfuracea,Cycadales,Zamiaceae,1,1,1
Zamia_pumila,Cycadales,Zamiaceae,1,1,1
Zingiber_officinale,Zingiberales,Zingiberaceae,1,1,1
Zingiber_zerumbet,Zingiberales,Zingiberaceae,1,1,1
Zygogynum_baillonii,Canellales,Winteraceae,1,1,0
Zygogynum_bicolor,Canellales,Winteraceae,1,1,0
Zygogynum_pomiferum,Canellales,Winteraceae,1,1,0
Zygopetalum_mackaii,Asparagales,Orchidaceae,0,1,1
